Product,Site,Price,Currency,URL
220 ohm resistor,adafruit.com,0.75,USD,https://www.adafruit.com/product/2780
220 ohm resistor,canadarobotix.com,0.79,CAD,http://www.canadarobotix.com/220-ohm-resistor-1-4w-5
240 ohm resistor,adafruit.com,0.75,USD,https://www.adafruit.com/product/2780
240 ohm resistor,canadarobotix.com,2.99,CAD,http://www.canadarobotix.com/1772-240k-ohm-carbon-film-resistor-1-4w-5-100pcs
,,,,
yellow led,adafruit.com,4.95,USD,https://www.adafruit.com/product/2700
yellow led,amazon.ca,27.14,CAD,https://www.amazon.ca/Miracle-LED-Yellow-Bug-Light/dp/B01BSF5VIG
yellow led,canadarobotix.com,1.99,CAD,http://www.canadarobotix.com/parts-basic-led-yellow
red led,adafruit.com,8.00,USD,https://www.adafruit.com/product/297
red led,amazon.ca,16.99,CAD,https://www.amazon.ca/Redragon-Gaming-Buttons-Ergonomic-CENTROPHORUS/dp/B00HTK1NCS
red led,canadarobotix.com,1.99,CAD,http://www.canadarobotix.com/parts-basic-led-red
,,,,
